"","Common name","Image","Origin","First developed","Comment","Use"
"160","Cacanska pozna[83]","","Serbia","Introduced 1971","P Starking x Jonathan. W 79, H 66. We 200. Stalk medium. Diploid. Pick late September - early October.",""
"161","Cadel[84]","","Serbia","Introduced 1984","P Golden Delicious x Jonathan. W 78-82. H 78-82. We 250-275. Stalk 45 mm. Flesh firm, crisp, juicy, acid. Pick late September - Early October.",""
"162","Cal-King[5]","","California US","1942","P unknown.",""
"163","Calville Blanc d'hiver[8]","","France","1598","Noted for unusual looks (somewhat lumpy on the side) but excellent reward when tried. Noted for having unusually high vitamin C content. Apple of choice for tarte tatin in France. W 75, H 65. Stalk variable. Flesh white, juicy, sweet, aromatic. Pick third week of October. Use November - March.","Cooking, Eating"
"164","Calville Rouge D`Automne[6]","","France","1670","A culinary apple of inferior quality in England.","Cooking, Eating"
"165","Calville Rouge D`Ete[6]","","France","<1800","A culinary apple of second-rate quality.","Cooking, Eating"
"166","Calville Rouge D`Hiver[6][8]","","France","<1800","A culinary apple of second-rate quality. W 75, H 76. Stalk long. Flesh white, soft, juicy, sweet. Pick early October. Use December - March.","Cider, Cooking, Eating"
"167","Calville Saint Sauveur[34]","","France","1839","Yellow with red flush. W 74, H 64-71. Stalk 18mm. Pick October. Use December - February.","Eating"
"168","Cambusnethan Pippin[8]","","Stirlingshire, Scotland","c1750","A yellow apple with red flush(50-75%). W 70, H 52. Stalk medium. Flesh white, sweet, aromatic. Pick late September. Use October- December.","Eating, Cooking"
"169","Cameo","","Washington State, US","1980s","Existence owed to freak accidental crossing of two most popular apples in world: Red and Golden Delicious. Retains prongs on bottom of latter parent but has flavor more resembling Golden.","Eating"
"170","Campanino","","Modena, Italy","before 1751(documented)","Fruits have firm, crisp flesh with a rather acid flavor","Cooking"
"171","Campfield(syn. Newark Sweeting)[3][28][4]","","New Jersey, US","<1817","A cider apple. Biennial. Use November - July.","Cider"
"172","Cannon Pearmain[3]","","North Carolina ?, US","<1851","A medium size, yellow apple with red flush. Flesh yellow, subacid, very good. Use December - March.","Eating"
"173","Capital[4]","","Indiana, US","<1850","W 65, H 57. Stalk 11 mm. Flesh yellow, juicy, subacid. Use December - January.","Eating"
"174","Caraway Russet see Fenouillet Gris",NA,NA,NA,NA,NA
"175","Carícia[10]","","Brazil","Introduced 1995","P Prima x Anna. Flesh subacid, good. Tree vigorous.","Eating"
"176","Cardinal(syn. Kiarolkowski, Peter the Great)[85]","","Russia","<1880","AM from RHS in 1896. Flesh soft, white, juicy, sweet, aromatic. Use August - September.","Eating"
"177","Carlisle Codlin[8]","","England","<1830","Yellow apple with no overcolour. H 58, W 65. Flesh juicy, subacid. Pick September. Use Oct. - November.","Cooking"
"178","Carlough[28]","","New York, US","<1899","Flesh whitish, tender, juicy, subacid, good. Use November - April.","Eating"
"179","Carlton[5]","","Geneva, New York, US","Introduced 1923","P Montgomery x Red Astrachan. Ripens 1 month later than Red Astrachan. Flesh white, tender, juicy, subacid. Tree vigorous, annual bearer.",""
"180","Carola(syn. Kalco)[18]","","Germany","1962","W 74-85, H 60, We 135-220. Stalk 5 – 20 mm. Pick September. Use September - December.","Cooking, Eating"
"181","Carolina Red June[59][28][3][4][syn. Red June, Georgia June]","","Tennessee, US","c. 1810","Very popular Civil-War-era Southern apple. Flesh juicy, brisk, subacid. Does beautifully in humid weather. Good choice for backyard gardener in subtropical climate, though hardy as far north as zone 5. Pick late July - early August. Use August - October.","Cooking, Eating"
"182","Carpentin Reinette(syn. Carpentin)[34]","","France or Germany","<1800","Gelb with red stripes. W 59, H 44. Stalk 15 mm. Use December - March.","Cooking."
"183","Carroll","","","1947","Ripens early.","Eating"
"184","Carswell´s Orange[8]","","Surrey, England","1938","A yellow apple with red flush(25-75%). P Cox Orange x unknown. W 67, H 63. Stalk medium. Flesh white, juicy, aromatic. Pick mid September. Use September - November.","Eating"
"185","Carter's Blue","","Alabama, US","1840s","Medium to large, roundish oblate; skin green or greenish yellow washed with dull red with darker red broken tripes, covered with a heavy bluish bloom. Crisp, juicy, sugary, aromatic, mild subacid. Foliage also has a blue hue. Ripens September and keeps until November. Once widely grown in the American South, then thought extinct. Reintroduced to America in 1994 after being discovered at the National Fruit Trust in Kent, England, where it had been added in 1947 from a collection in Rhone, France, after it had been acquired around 1860 from the Fruitland Nursery in Augusta, Georgia.[86]","Eating, Cooking"
"186","Carver(sy. White Carver)[3]","","Pa. US","<1875","Stalk short. Flesh yellow, juicy, tender, vinous, subacid. Tree productive. Use August.","Eating"
"187","Catline(syn. Gregson Apple)[3]","","Maryland, US","<1875","Below medium size. Flesh tender, juicy, sweet. Tree slow growth. Use October - December.","Eating"
"188","Catshead[8]","","England","<1700","Sharp flavor. Lumpy shape and electric green coloring. H 86, W 86. Known to have been a variety planted in early Virginia by settlers as well as native England. Extremely rare in native United Kingdom; occasionally still found growing in southern United States.","Cooking"
"189","Cauley[5]","","Mississippi, US","Introduced 1942","P unknown. A large apple. Flesh yellow, crisp, juicy. Tree yields heavily.","Cooking, Jelly"
"190","Celestia[4]","","Ohio, US","<1850","W 83, H 75. Stalk 21 mm. Flesh subacid, sprightly, spicy, aromatic. Use September","Cooking, Eating"
"191","Cellini[13][19][14][87]","","England","<1843","W 70-86, H 56-74. Stalk 10 – 20 mm. Pick late September. Use October - December.","Eating, Cooking."
"192","Champagnerrenette see [[Reinette de Champagne",NA,NA,NA,NA,NA
"193","Champion, (syn. Shampion, Sampion)","","Czechoslovakia","c. 1960","A cross between Golden Delicious and a Cox Orange Pippin. Attractive color. This tree bears attractive fruit, extra-large sized, deep red, juicy, and crisp. Keeps fresh for a long time. Starts bearing at a young age.","Eating"
"194","Champlain [88]","","US","<","A grennish yellow apple. W 83, H 75. Stalk 21 mm. Flesh white, very tender, juicy, subacid. Quality: eating good, cooking excellent. Use August - October.","Eating, Cooking"
"195","Charlamoff[89][90]","","Russia","<1880","Yellow with red flush. Tree small. Flesh white, coarse, juicy, subacid, good. Pick and use August.","Eating"
"196","Charlamowsky see Duchess of Oldenburg",NA,NA,NA,NA,NA
"197","Charles Eyre[8]","","Berkshire, England","Introduced 1911","A greenish-yellow apple. W 102, H 90. Stalk short. Flesh white, soft, dry, acid. Pick mid September. Use September - November.","Cooking, Pie"
"198","Charles Ross[7]agm[91][21]","","Berkshire, England","1890s","FCC from RHS in 1899. Orange to red. W 80, H 70. Stalk 10 mm. Best cooked early in season. Good flavor, and sweet when eaten later in season. Pick mid September. Use October - December.","Multi-purpose"
"199","Chaxhill Red[92]","","Gloucestershire, England",">1873","A roundish oblate red apple. H 52, W 63. Stalk short and stout.","Eating, Cider"
"200","Cheddar Cross[8]","","England","Raised 1916, Introduced 1949.","Green Apple with red flush. H 50, W 60. Flesh yellow ,juicy, sharp.","Eating"
"201","Cheese[3]","","Pa. US","<1870","Flesh white, tender, subacid. Good. Tree vigorous, bears annually. Use November - February.","Eating"
"202","Cheeseborough[4]","","US","<1840","One of the largest and one of the poorest of the russet apples. Flesh dry, subacid, sweet. Use November - December.","Cooking"
"203","Chelmsford Wonder[93][8][7][94]","","Essex, England","c. 1870","A large long keeping yellow-skinned apple with diffuse orange pink flush. FCC from RHS in 1891. [1]. H 61, W 75. Pick October. Use November - February. Still grown in Essex orchards including Lathcoats Farm Shop.","Cooking"
"204","Chenango[3] [syn. Chenango Strawberry][95][96]","","N.Y. US","<1850","W 72, H 72. Stalk 14 mm. Flesh white, firm, tender, juicy, mild subacid, aromatic, good to very good. Use September - October.","Eating"
"205","Chester(syn. Chester Redstreak)[3]","","Pennsylvania, US","<1850","Medium size. Flesh white, tender, juicy, subacid, aromatic. Use November - December.","Eating"
"206","Chestnut[5]","","Minnesota, US","Introduced 1946","P Malinda x unknown. Flesh nutlike flavor. Tree vigorous, productive.",""
"207","Chiver's Delight[21]","","Histon, Cambridgeshire, England","1920s","Medium to large oblate apple. Red flush over greenish yellow skin. Crisp, juicy, sweet white flesh. Flavor can be variable but at its best is very well balanced. Grown by Chivers (now a brand of Premier Foods) for apple sauce.","Multi-purpose"
"208","Chorister Boy[8]","","Wiltshire, England","<1890","A yellow apple with red flush. W 66, H 60. Stalk medium. Flesh white, juivy, subacid. Pick late September. Use November - December.","Eating"
"209","Christmas Pearmain[8]","","England","1893","A yellow apple with red flush(50-75%). W 63, H 67. Stalk short. Flesh yellow, crisp, subacid, aromatic. Pick early October. Use November - January.","Eating"
"210","Clarke(sy. Clarke Beauty)[28]","","New York, US","<1900","Flesh tender, juicy, subacid. Use October - January.","Eating"
"211","Claygate Pearmain[7][8][21]","","Surrey, England","1821","Suitable for northerly, cold, wet climates: rich, nutty flavor. FCC from RHS in 1921. W 67-70, H 59-67. Stalk 10–18 mm. Pick early October. Use December - February.","Eating"
"212","Clayton[4]","","Indiana, US","<1850","W 84, H 70. Stalk 14 mm. Flesh yellow, subacid. Use November - March.","Cooking"
"213","Cleopatra see Ortley",NA,NA,NA,NA,NA
"214","Clivia[18]","","East Germany","1964","Geheimrat Dr. Oldenburg × Cox's Orange Pippin. W 64-80, H 56, We 100-183. Stalk 15 – 30 mm. Use December - April.","Eating"
"215","Close[14]","","Virginia, US","Selected 1928, Introduced 1938","A greenish - yellow apple with red stripes. H 72, W 75. Pick August. Use August.","Eating"
"216","Cludius Herbstapfel[97]","","Germany","<1860","A green apple. W 80, H 64. Flesh juicy, subacid. Pick September. Use September.","Eating"
"217","Cockle Pippin[8]","","Surrey, England","c1800","A greenish yellow apple. W 62, H 59. Stalk medium. Flesh, firm, white, dry, sweet. Pick early October. Use December - March.","Eating"
"218","Coffelt[28]","","US","?","Flesh whitish, firm, tender, juicy, subacid, good. Use January - May.","Eating"
"219","Cogswell(syn. Cogswell Pearmain)[3]","","Ct. US","c1755","W 84, H 63. Stalk 16 mm. Flesh yellow, juicy, subacid, aromatic. Use December - March.","Eating"
"220","Collamer[98][99]","","New York, US","ca 1895","A sport of Twenty Ounce. W 105, H 95. Stalk 17 mm.",""
"221","Collins[28]","","Arkansas","<1895","W 78, H 59. Stalk 19 mm. Flesh white, crisp, firm, subacid, fair to good. Tree vigorous. Use January - June.","Eating"
"222","Colton[28]","","Mass. US","c1840","A yellow apple. Flesh juicy, mild subacid. Use August.","Eating"
"223","Colvert[4]","","US","<1850","A large apple. Flesh white, juicy, subacid. Use October - November.","Eating"
"224","Conard[5]","","Missouri, US","Introduced 1935","P Ben Davis x Jonathan. Ripens 1 week after Jonathan. Tree vigourous, resistant to disease.","Eating"
"225","Constantine[100][101]","","Europe","<1873","Constantine is very similar to Alexander, but ripens later and keeps longer. W 91, H 69.  Stalk 23 mm. Flesh, white, firm, coarse, tender, juicy, subacid, fair to good. Use September - November.","Eating"
"226","Cook´s Favorite[4]","","US","<1850","Flesh yellow, subacid. Stalk long. Use September.","Cooking"
"227","Cooper[4][3][28]","","Connecticut, US","<1796","W 86, H 65. Stalk 18 mm. Flesh juicy, subacid, vinous, sweet. Good. Use October - December.","Eating"
"228","Cooper Early White[3]","","Illinois ? US","<1870","Flesh white, crisp. Use September - October.","Eating"
"229","Cooper Market[3][28][102]","","New Jersey ? US","<1804","Tree vigorous. Flesh white, tender, subacid, fair to good. Use December - May.","Eating"
"230","Cornell Fancy[3]","","Pennsylvania, US","<1870","Stalk medium. Flesh white, tender, crisp, juicy, subacid. Very good. Tree vigorous.","Eating"
"231","Cornish Aromatic[8][21]","","Cornwall, England","very old","Large yellow. High-quality dessert apple. W 64-77, H 58-69. Stalk 18–21 mm. Pick mid October. Use December - March.","Eating"
"232","Cornish Gilliflower[8][21]","","Cornwall, England","1813","Discovered as accidental seedling. Shy bearer. W68-70, H 68-70. Stalk 18 mm. Flesh yellow, sweet. Pick mid October. Use November - March.","Eating"
"233","Coronation[8]","","Sussex, England","1902","A yellow apple with red flush(50-75%). W 81, H 63. Stalk long. AM from RHS in 1902. Flesh white, soft, dry, sweet. Pick mid September. Use September - December.","Cooking, Eating"
"234","Cortland[14][103]","","Geneva, New York, US","1899. Introduced 1915.","Pale crisp flesh. W 73, H 57. Classic red coloration, nice crunch. P Ben Davis x McIntosh. Tree early and annual bearer, very hardy. Ripens in October in state of origin.","Eating"
"235","Cosmic Crisp","","Washington, United States","1997","Became available commercially in 2019. A combination of Enterprise and Honeycrisp apples.","Eating"
"236","Cottenham Seedling[8]","","Cambridgeshire, England","<1923","P Dumelow x unknown. W 80, H 67. Stalk short to medium. Flesh white, firm, juicy, acid. Pick late September. Use November - March.","Cooking"
"237","Coulon Reinette see Reinette Coulon",NA,NA,NA,NA,NA
"238","Court Pendu Plat[21]","","France","1613","Extremely old variety, may date from as early as Roman times. W 61, H 45. Stalk 10 mm. Popular during the Victorian era. Yellow to light green, flushed with red.Pick mid October. Use December - April.","Eating"
